video_id,trending_date,title,category_id,views,likes,dislikes,comment_count
q0-SCcsuSSs,17.14.11,Akkineni Nagarjuna Response On Annapurna Studios Fire Mishap |Manam Movie House Setting Fired| iNews,25,23932,0,0,7
l3fRny54z4U,17.14.11,സൗബിനെ വെറും  30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്ത പേർളി !!,24,54861,247,20,10
WXN8BzAsi3A,17.14.11,TVF Inmates | E05 - Smells Like Nostalgia,24,1174353,20095,2517,2250
E_e3nSdBiqE,17.14.11,Does GOD EXIST OR NOT? PART 2 | Unknown Facts About GOD Revealed in Telugu | Vikram Aditya | EP#92,24,127517,3676,381,2169
yPOnlqGGGGU,17.14.11,"Genes Promo | 18th November 2017 | Indraneel, Meghana | Genes Latest Promo",24,255707,2267,121,338
MXH7yFFl3fE,17.14.11,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",22,97522,838,189,49
UTVFNrRwL1o,17.14.11,"Indian Cricketers With HOT Girlfriends & Wives - Virat Anushka,Dhoni Sakshi,Zaheer Sagarika",24,692359,2523,618,194
hDUel4MX-Fw,17.14.11,13 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,27,47352,2240,31,543
K6JyjjNnTlg,17.14.11,இவ்வளவு சொத்து எப்படி வந்துச்சு ? NAKKHEERAN GOPAL Exclusive Interview about Sasikala & Family,25,114466,1580,163,255
TuOBfQRXwhQ,17.14.11,"13 नवम्बर से इन 9 राशि वालों का खुलेगा किस्मत का ताला, कहीं आप की राशि तो नहीं इन में से एक जानिए",22,109594,790,189,145
y6YY8-k9Cwg,17.14.11,7 DAILY HABITS OF SELF MADE MILLIONAIRES (HINDI),27,103239,7191,91,746
1WTtrHW7uw8,17.14.11,"Bigg Boss 11 | Eviction Interview | ANGRY Mehjabi calls Hina, Priyank FAKE",24,150806,1311,508,740
w5qMOyPuUqU,17.14.11,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,24,170707,1152,178,166
4tEqzEo5uKY,17.14.11,ఈ రోజు కార్తీకమాస చివరి సోమవారం ఇది వింటే 1000 సార్లు కాశీ వెళ్లినంత పుణ్యం దక్కుతుంది.! Lord Shiva,26,77888,889,75,44
3d7NjfTziNM,17.14.11,Son Of Abish feat. Vir Das & Irrfan Khan,23,779856,14281,490,1021
8vBjlhp73hU,17.14.11,భార్య తో వెంకటేష్ ...Venkatesh Wife Neeraja At Samantha Naga Chaitanya Wedding Reception..Allu Arjun,24,154502,543,15,15
WPuhu6dYyQY,17.14.11,"Baal Veer - बाल वीर - Episode 777 (Part 1) - 11th November, 2017",43,433053,938,298,119
XjF2n3NaoSk,17.14.11,Konchem Touch Lo Unte Chepta Season 3 - Rajasekhar and his Family Promo - Pradeep Machiraju,22,1025941,6019,234,280
ozZ8HpIBsGw,17.14.11,Mersal - A minute of Aalaporaan Thamizhan | Vijay | A R Rahman | Atlee,10,1449239,120289,3108,3296
RWTutjJA1I4,17.14.11,Elephant hit man in Facebook live,25,93662,33,5,10
xjFKfAudCOo,17.14.11,"Aruvi - Official Teaser | Arun Prabu | Bindhu Malini, Vedanth | Dream Warrior Pictures",1,696515,12397,449,385
Mwn4zdD51Kc,17.14.11,18 नवम्बर शनि अमावस्या ज़रा सा सरसों का तेल चमका देगा किस्मत इतना आयेगा पैसा की संभाल नही पाओगे उपाय,26,74888,663,71,14
U3xLOo-CNwo,17.14.11,12 Weird Ways To Sneak Food Into Class / Back To School Pranks,26,3153224,28450,2285,3312
AHWTbKVpukU,17.14.11,Fun Bucket | 106th Episode | Funny Videos | Harsha Annavarapu | Comedy Web Series,23,162637,1302,228,408
gWZwfjfgwGs,17.14.11,"Indrajith Official Trailer | Gautham Karthik, Ashrita Shetty, Sonarika | KP | Kalaaprabhu",10,544102,13384,438,409
Ny_-eMpu95Q,17.14.11,பாகுபலி ஸ்டைலில் ஏற முயன்றவரை யானை தூக்கி வீசும் காட்சி,25,52312,547,25,59
KskjXRkmJW4,17.14.11,നമ്മുടെ ദിവ്യ ഉണ്ണിയെ ഓർമ്മയുണ്ടോ? ഇപ്പോൾ കണ്ടാൽ ഞെട്ടും | Malayalam Actress Divya Unni,24,90826,104,85,20
7BUEKSFwk7Q,17.14.11,"Mission IAS 2018 : 13 November, 2017 The Hindu Daily Editorial Discussion",27,23114,0,0,0
EU-y4Y7khJU,17.14.11,Bithiri Sathi Turns Brand Ambassador For Chicken | Teenmaar News | V6 News,25,357019,2487,219,326
pw3iSkTRJWw,17.14.11,Kuladheivam SUN TV Episode - 771 (13-11-17),24,117022,466,135,24
NTiSvK7c810,17.14.11,சசிகலா குடும்பத்துக்கு  ஆப்பு  வைத்த  ஜெயானந்த் கொளுத்தி போட்ட தீ,25,32811,48,27,1
g7BHnHzwOVo,17.14.11,10 Years Old - Pyar Ho Jayega Prank on Girls by Kid | Prank In India | The HunGama Films,24,263844,9983,677,514
tA-cUlv-3Z8,17.14.11,(11/11/2017) Kelvikkenna Bathil | Exclusive Interview with Former Finance Minister P.Chidambaram,25,202926,2057,244,896
SVc0gV3pWC0,17.14.11,Haq Se Qarib Qarib Singlle - featuring Irrfan Khan.,22,1353040,53866,1111,2232
PVyuSPi0brM,17.14.11,सुबह-सुबह अजवाइन का पानी 4 दिन पीने के बाद आप खुद चौकन्ने हो जायेंगे// Ayurved Samadhan,26,24700,360,30,13
sOwXjFMy17Y,17.14.11,నవంబర్ 13   (చివరి కార్తిక సోమవారం) ఇది ఒక్కటి తింటే  దీపం దానం చేసినంత పుణ్యం మరియు అదృష్టం,22,55523,220,41,5
r0wnuv1X1Z0,17.14.11,"Samantha , Naga Chaitanya Wedding Reception held in Hyderabad",25,24276,1,1,1
WZIsINLpDcA,17.14.11,வள்ளி | Valli | Sun TV | Tamil Serial | Episode 1425 Promo,24,58675,226,23,30
KPSK2qOPvuU,17.14.11,Mooli Gajar ka mix Achaar । सर्दियों के लिये खास गाजर मूली का अचार । Gaazar Muli Pickle,26,73579,2095,84,547
XU6iH5LHwDw,17.14.11,హిజ్రాల నుంచి ఈ వస్తువు తీసుకుంటే మీ జీవితం మారిపోతుంది | Change Your Life | Mana Telugu,22,65054,349,28,0
4f20l8mdBh0,17.14.11,Ramaleela Success Trailer | Dileep | Arun Gopy | Mulakkuppadam Films,24,132421,3509,89,294
Jwa0Qh1muyA,17.14.11,రిసెప్షన్ లో సమంత వేసుకున్న డ్రెస్ ఎన్ని లక్షల్లో తెలిస్తే షాక్ | Samantha Dress Cost,24,58019,87,31,0
SDG5U00mS_U,17.14.11,Snippets From The IBPS PO/CLERK SEMINAR By ADDA247 Video Team,27,12790,234,22,46
5zHIyadCwwE,17.14.11,"Tech Talks #346 - Moto X4, BharatNet II, iPhone X FaceID, Indigo Laptop Smoke, Rubber Electricity",28,153384,29321,750,1787
Uf_rqW2yTgs,17.14.11,Rana Having Fun With Samantha Naga Chaitanya @Naga Chaitanya and Samantha Reception #9Roses Media,24,75843,55,35,4
tzlF8oZd2BU,17.14.11,"engagement काका कुमाणसी का सगाई में भिजोल ,राजस्थानी हरयाणवी कॉमेडी",1,269593,3931,390,640
3QsBs8JM3sM,17.14.11,"Half Boil | Web Series - Episode 7 | Gopi,Sudhakar,Javith | Madras Central",24,868921,34242,1317,4604
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),10,33523622,1634126,21082,85067
hJ6nM40tuKQ,17.14.11,ലൈവിൽ വന്നു ഭാരിയക്ക്‌  പാട്ടു പാടി കൊടുത്തു ചാക്കോച്ചൻ.!!! ക്ലൈമാക്സ്‌ മിസ്സ്‌ ആക്കല്ലേ... !!!,24,209606,3739,118,245
3BF-iAMjciE,17.14.11,मृत अनिकेत कोथळेंच्या मुलीचा आर्त सवाल,25,37616,17,0,5
_Qh5u5U9h80,17.14.11,Uppum Mulakum│Flowers│EP# 473,24,482839,3978,248,848
6I2yAoxBRtI,17.14.11,Virgin Woman Diaries | Season FINALE | Web Series | Kabir Sadanand | FrogsLehren | HD,1,181117,3218,222,517
u84lPMD6UaE,17.14.11,Samantha Hilarious Comedy with Vennala Kishore and sai Dharam Tej | NewsMax Telugu,24,146859,421,52,5
qgasli1u-Ag,17.14.11,AUNTY KI GHANTI PART 2 | FULL MUSIC VIDEO,23,108414,3771,5349,2491
UtqE056lqas,17.14.11,"Lagira Zhala Jee - लगिरा झला जी - Episode 172  - November 13, 2017 - Preview",24,78447,241,11,13
ZJaR1RPrvkA,17.14.11,खेसारी लाल के जिंदगी की 15 अनसुनी कहानी  || Bhojpuri Hero Khesari Lal Yadav 15 Real Story,24,218178,1373,214,118
7HTw1Jz5lcQ,17.14.11,ಬಿಗ್ ಬಾಸ್ ಐದರ ಶ್ರೀಮಂತ ಮತ್ತು ಕಡು ಬಡವ ಸ್ಪರ್ದಿ ಯಾರು ಶಾಕಿಂಗ್ | big boss poor contestant,1,103665,566,66,76
d380meD0W0M,17.14.11,I Dare You: GOING BALD!?,24,2095731,132237,1989,17518
NgEgYjvh6rE,17.14.11,FilterCopy | Types Of Men You Meet On A Date | Ft. Irrfan and Parvathy,23,1014724,25413,891,1030
yqV4godQ7Xk,17.14.11,Actor Rajasekhar Exclusive Interview | Frankly With TNR #83 | Talking Movies With iDream #554,24,277050,2131,113,538
Svdb9YT86vc,17.14.11,వీళ్ళేమో టాప్ విలన్స్ కానీ వీళ్ళ భార్య లు టాప్ హీరోయిన్స్ | 6 Tollywood Villains Wives | Gossip Adda,24,109580,391,73,18
_bNrVP6CCfs,17.14.11,Aramm - Aram Movie Review - Nayantharaa - Tamil Talkies,24,308394,5415,1833,568
h6Z9mmSNJcw,17.14.11,মাত্র ১ ফোটা ব্যবহারে লিঙ্গ ২ ঘন্টা দাড়িয়ে থাকবে ষ্টিলের মতো-How To Make Healthy Leech Oil At Home,26,298998,1260,371,0
FBzjw0yPup0,17.14.11,dayyam pattindi  | comedy | my village show,23,748248,18891,1001,2078
A_XgvSkbCvM,17.14.11,ചാക്കോച്ചൻ ഇത്ര മനോഹരമായി പാടുമെന്ന് കരുതിയില്ല | Kunchacko Boban singing a cute song for his wife,24,17006,287,2,11
uzcHSrzwp9I,17.14.11,விக்ரம் மனைவி பற்றி பலரும் அறியாத உண்மைகள் | Tamil Cinema News | Kollywood News | Latest Seithigal,24,377572,1717,170,55
B6IxqP9z9XE,17.14.11,லட்சுமி கதையும் அதன் விமர்சனமும் | Lakshmi - Short Film Real Story | TPEXC_15,24,134307,1762,104,437
BwIw80nybkU,17.14.11,Weekly Reliv | Taarak Mehta Ka Ooltah Chashmah |06th November to 10th November 2017| Ep 2331 to 2335,24,277839,1167,162,87
7RGnOALpYCk,17.14.11,Durga | Full Ep 913 11th Nov 2017 | Odia Serial - TarangTV,24,85165,244,41,16
Rhq6uJkoy_o,17.14.11,काला जादू करने वाले पर वापिस कैसे करें ।। How To BackFire Of Black Magic ।। Om Namoh Narayan,27,69426,1112,125,0
PBuCqgA7u5w,17.14.11,Abhishek Bachchan Lashes Out As Paparazzi Click Aishwarya Rai Bachchan In A Wrong Light,24,2664065,2351,4169,883
xnvlaasnhHg,17.14.11,Varun Tej And Rana Dagubati Making Fun With Samantha In #ChaySam Wedding Reception | Film Jalsa,24,16825,31,12,2
JsZ2yyIXOSE,17.14.11,விவேக்கிற்கு இத்தனை சொத்துகளா?..  | விவேக்கிற்கு பணத்தால கண்டம்- வீடியோ,25,84097,352,44,47
1wqsTGkFHoE,17.14.11,"इन 7 राशियों की चमकेगी किस्मत,गुरु का होगा उदय, 10 november 2017",22,367797,2254,605,0
_fJSu5naKX4,17.14.11,Naa Peru Meenakshi | 11th November 2017 | Full Episode No 876 | ETV Telugu,24,315154,842,219,183
3FxCSn3d1f4,17.14.11,আতঙ্কের রাত by Sasthipada Chattopadhyay (NEW GOLPO) SUNDAY SUSPENSE,24,26675,540,21,75
0Gf19Rue4zA,17.14.11,Customer vs Shopkeeper | WTF | WHAT THE FUKREY,24,185537,7629,734,607
cRxYTelqWOg,17.14.11,జగన్ యాత్రలో ఈ పరికరాల పనేంటి? |YS Jagan's Padayatra,25,66463,622,50,28
puBq9Z5TpEw,17.14.11,Tamil Cinema Real Sisters | Tamil Cinema News | Kollywood News,22,36092,106,58,3
BhZx-ZEz0_Y,17.14.11,നടി ദിവ്യ ഉണ്ണി കെട്ടിയോനെ ഉപേക്ഷിച്ചിട്ട് ഇപ്പോഴത്തെ പണി കണ്ടോ  | Actress Divya Unni,24,35431,51,32,9
deKWUn7r-_8,17.14.11,600சொத்துக்கள் 5நாளில் பெயர்மாற்றம்:பரோல் வீண் இல்லை 600Assets Replaced in 5Days:Parol is not  waste,25,59708,151,37,11
bDDZLQw8Wb4,17.14.11,Vamsam - வம்சம் | Tamil Serial | Sun TV |  Epi 1332 | 11/11/2017 | Vision Time,24,182209,970,152,107
AL1RsbakLx4,17.14.11,Bigg Boss 11: Priyank Sharma To Be ARRESTED From The Bigg Boss House? | Filmibeat,24,249737,1303,483,411
NhyolxnS-Qs,17.14.11,Wrong Number | Sheorans | Funny Video,24,204351,5192,480,303
